Date,Open,High,Low,Close,Adj Close,Volume
2020-10-19,50.029999,50.480000,49.459999,49.619999,48.099365,9930400
2020-10-20,49.889999,50.619999,49.790001,50.250000,48.710064,10970700
2020-10-21,49.959999,50.430000,49.770000,49.990002,48.458038,12517400
2020-10-22,51.169998,51.200001,50.380001,50.680000,49.126888,20189200
2020-10-23,51.000000,51.180000,50.470001,50.520000,48.971794,13491300
2020-10-26,50.340000,50.509998,49.200001,49.799999,48.273857,14696400
2020-10-27,49.810001,50.290001,49.549999,49.900002,48.370789,13892100
2020-10-28,49.000000,49.150002,47.779999,47.959999,46.490242,19886200
2020-10-29,47.730000,48.480000,47.299999,48.020000,46.548401,15369900
2020-10-30,47.810001,48.119999,47.369999,48.060001,46.587177,15804000
2020-11-02,48.750000,48.950001,48.240002,48.619999,47.130016,15156100
2020-11-03,49.220001,49.959999,49.000000,49.349998,47.837639,15285100
2020-11-04,49.430000,50.209999,49.080002,49.169998,47.663162,12930800
2020-11-05,49.759998,50.209999,49.340000,49.439999,47.924889,12452400
2020-11-06,49.650002,49.990002,49.250000,49.450001,47.934582,9294900
2020-11-09,52.500000,53.259998,52.070000,52.570000,50.958965,33442000
2020-11-10,52.570000,54.279999,52.450001,53.980000,52.325752,29706700
2020-11-11,53.930000,54.299999,53.330002,53.580002,51.938015,17399900
2020-11-12,53.049999,53.209999,52.610001,53.009998,51.385479,15024400
2020-11-13,53.250000,53.500000,52.889999,53.450001,51.812000,12447900
2020-11-16,54.500000,54.619999,53.279999,53.849998,52.199741,14908200
2020-11-17,53.660000,53.750000,53.029999,53.680000,52.034954,14248400
2020-11-18,53.750000,54.020000,52.560001,52.610001,50.997738,15278200
2020-11-19,52.490002,53.230000,51.950001,53.130001,51.501808,17189500
2020-11-20,53.189999,53.250000,52.590000,52.669998,51.055901,15645600
2020-11-23,52.950001,53.169998,52.200001,52.680000,51.065598,13191900
2020-11-24,53.139999,53.590000,53.020000,53.220001,51.589050,13827600
2020-11-25,53.070000,53.279999,52.790001,52.930000,51.307938,10194800
2020-11-27,53.110001,53.189999,52.610001,52.700001,51.084980,8499300
2020-11-30,52.090000,52.189999,51.080002,51.599998,50.410885,43203600
2020-12-01,52.139999,52.330002,51.790001,52.040001,50.840744,18968800
2020-12-02,51.900002,52.130001,51.639999,52.110001,50.909130,14913100
2020-12-03,51.900002,52.939999,51.900002,52.779999,51.563686,17318900
2020-12-04,52.779999,53.869999,52.759998,53.849998,52.609035,18122400
2020-12-07,53.759998,53.779999,52.700001,52.990002,51.768852,16210900
2020-12-08,52.939999,53.480000,52.790001,53.180000,51.954475,12485800
2020-12-09,53.369999,53.599998,53.000000,53.330002,52.101017,11508400
2020-12-10,53.400002,53.509998,52.980000,53.049999,51.827469,12097300
2020-12-11,52.799999,53.540001,52.779999,53.349998,52.120556,10638100
2020-12-14,53.650002,53.840000,53.180000,53.270000,52.042400,22292000
2020-12-15,53.790001,54.220001,53.599998,53.840000,52.599262,16193700
2020-12-16,53.599998,53.799999,52.939999,53.060001,51.837238,15679600
2020-12-17,53.299999,53.709999,53.150002,53.270000,52.042400,12677300
2020-12-18,53.080002,53.840000,52.619999,53.740002,52.501572,35480100
2020-12-21,52.680000,53.000000,51.980000,52.810001,51.593002,14926600
2020-12-22,52.810001,53.180000,52.389999,52.759998,51.544147,9689500
2020-12-23,52.950001,53.389999,52.939999,53.080002,51.856781,7040300
2020-12-24,53.020000,53.549999,53.020000,53.439999,52.208481,3265500
2020-12-28,53.849998,54.439999,53.730000,54.160000,52.911888,9020500
2020-12-29,54.450001,54.490002,54.020000,54.130001,52.882580,8320600
2020-12-30,54.049999,54.630001,54.029999,54.439999,53.185436,8142700
2020-12-31,54.450001,54.930000,54.270000,54.840000,53.576221,8495000
2021-01-04,54.270000,54.630001,52.029999,52.759998,51.544147,25611100
2021-01-05,52.330002,52.619999,52.029999,52.180000,50.977520,20323800
2021-01-06,51.970001,52.020000,50.189999,50.520000,49.355778,38724500
2021-01-07,50.090000,50.259998,49.520000,49.959999,48.808674,53225700
2021-01-08,50.029999,51.130001,49.840000,51.080002,49.902870,29674000
2021-01-11,50.619999,50.860001,49.950001,50.200001,49.043148,19304400
2021-01-12,50.040001,50.369999,49.759998,50.110001,48.955223,18538700
2021-01-13,49.980000,50.360001,49.950001,50.160000,49.004070,18864100
2021-01-14,50.160000,50.180000,49.220001,49.230000,48.095501,34303600
2021-01-15,49.160000,49.180000,48.529999,48.700001,47.577717,24366800
2021-01-19,48.740002,49.040001,48.240002,48.509998,47.392090,29114500
2021-01-20,48.540001,48.820000,48.310001,48.680000,47.558174,23115800
2021-01-21,48.779999,49.090000,48.459999,48.950001,47.821953,19702500
2021-01-22,48.810001,48.939999,48.490002,48.490002,47.372555,15400300
2021-01-25,48.419998,48.840000,48.240002,48.779999,47.655869,16604200
2021-01-26,48.910000,49.400002,48.610001,49.290001,48.154118,12922600
2021-01-27,48.889999,49.320000,48.230000,48.529999,47.411633,21242400
2021-01-28,48.689999,49.500000,48.610001,49.150002,48.017345,17498900
2021-01-29,49.029999,49.119999,48.110001,48.150002,47.040390,18670300
2021-02-01,48.270000,48.689999,48.180000,48.480000,47.362782,12183600
2021-02-02,48.799999,49.349998,48.630001,48.959999,47.831722,13319800
2021-02-03,48.950001,49.090000,48.669998,48.770000,47.646107,12274100
2021-02-04,48.959999,49.070000,48.650002,49.009998,47.880569,20597400
2021-02-05,49.500000,49.779999,49.270000,49.650002,48.505825,12742000
2021-02-08,49.959999,50.169998,49.490002,49.919998,48.769600,17833200
2021-02-09,49.849998,50.020000,49.630001,49.700001,48.554668,14592900
2021-02-10,50.410000,50.580002,49.529999,49.599998,48.456970,22965400
2021-02-11,49.810001,50.590000,49.799999,50.299999,49.140842,21928600
2021-02-12,50.570000,50.849998,50.389999,50.689999,49.521854,13137100
2021-02-16,50.619999,50.720001,50.160000,50.270000,49.111534,15093400
2021-02-17,50.000000,50.490002,49.889999,50.130001,48.974762,12794300
2021-02-18,50.160000,50.849998,50.029999,50.770000,49.600014,12747100
2021-02-19,50.790001,50.830002,49.970001,50.110001,48.955223,15968800
2021-02-22,49.849998,50.880001,49.669998,50.630001,49.463238,14370900
2021-02-23,51.000000,51.509998,50.419998,50.540001,49.375313,16222300
2021-02-24,50.389999,50.900002,50.130001,50.709999,49.541397,14442000
2021-02-25,50.470001,50.750000,49.980000,50.169998,49.013836,14211100
2021-02-26,50.200001,50.209999,48.970001,48.990002,47.861031,23638400
2021-03-01,49.439999,50.439999,49.400002,49.900002,48.750061,13901200
2021-03-02,49.840000,50.560001,49.700001,50.099998,48.945450,11755100
2021-03-03,49.720001,50.560001,49.709999,49.980000,48.828217,15410700
2021-03-04,50.310001,51.090000,49.619999,49.939999,48.789139,22036400
2021-03-05,50.049999,50.950001,49.900002,50.790001,49.619553,21310800
2021-03-08,51.470001,52.490002,51.160000,51.639999,50.449959,25084900
2021-03-09,51.720001,51.880001,50.820000,50.860001,49.687939,23082700
2021-03-10,51.180000,51.630001,50.720001,51.439999,50.254570,21331600
2021-03-11,51.410000,51.430000,50.810001,50.880001,49.707478,17417700
2021-03-12,50.590000,50.680000,50.200001,50.360001,49.608971,17598600
2021-03-15,50.500000,51.119999,50.470001,51.029999,50.268974,13411900
2021-03-16,51.200001,51.520000,51.040001,51.220001,50.456142,14214200
2021-03-17,51.250000,51.619999,51.150002,51.240002,50.475845,17502700
2021-03-18,51.060001,51.189999,50.490002,50.570000,49.815834,18007300
2021-03-19,50.459999,51.080002,50.169998,50.810001,50.052258,67845700
2021-03-22,50.320000,51.080002,50.320000,51.000000,50.239422,17911400
2021-03-23,50.990002,51.650002,50.830002,51.389999,50.623604,16936700
2021-03-24,51.169998,51.889999,51.150002,51.520000,50.751667,14997400
2021-03-25,51.700001,52.060001,51.169998,52.020000,51.244213,17091900
2021-03-26,52.139999,53.110001,51.759998,53.040001,52.249001,17126700
2021-03-29,52.730000,53.939999,52.709999,53.849998,53.046921,17514100
2021-03-30,53.750000,53.790001,52.930000,53.150002,52.357361,14871800
2021-03-31,53.029999,53.169998,52.500000,52.709999,51.923920,15826500
2021-04-01,52.959999,53.150002,52.459999,52.509998,51.726902,15834700
2021-04-05,52.349998,53.220001,52.290001,52.810001,52.022430,16368700
2021-04-06,53.040001,53.650002,52.900002,53.189999,52.396763,15614300
2021-04-07,53.279999,53.500000,53.119999,53.279999,52.485420,10062700
2021-04-08,53.169998,53.380001,52.970001,53.119999,52.327805,9695600
2021-04-09,53.169998,53.279999,52.810001,53.180000,52.386909,10828200
2021-04-12,53.330002,53.549999,53.099998,53.349998,52.554379,8565300
2021-04-13,53.040001,53.290001,52.810001,53.090000,52.298256,11071700
2021-04-14,52.980000,53.189999,52.650002,53.080002,52.288406,9787600
2021-04-15,53.130001,53.660000,53.119999,53.330002,52.534679,13078100
2021-04-16,53.740002,53.799999,53.380001,53.680000,52.879459,17974100
2021-04-19,54.000000,54.360001,53.299999,54.000000,53.194683,19352900
2021-04-20,53.840000,54.590000,53.810001,54.169998,53.362144,14419200
2021-04-21,54.240002,54.740002,54.240002,54.610001,53.795586,13866500
2021-04-22,54.470001,54.869999,54.320000,54.439999,53.628120,12558900
2021-04-23,54.400002,54.590000,54.169998,54.470001,53.657673,9020500
2021-04-26,54.470001,54.509998,53.580002,53.660000,52.859753,11684600
2021-04-27,53.560001,53.700001,53.320000,53.580002,52.780949,9852400
2021-04-28,53.980000,54.049999,53.439999,53.590000,52.790798,10868100
2021-04-29,53.540001,54.360001,53.430000,54.259998,53.450806,15391000
2021-04-30,54.250000,54.270000,53.689999,53.980000,53.174984,14912600
2021-05-03,54.270000,54.799999,54.160000,54.480000,53.667526,10417900
2021-05-04,54.570000,54.619999,53.939999,54.139999,53.332592,14151000
2021-05-05,54.139999,54.240002,53.709999,54.000000,53.194683,9665900
2021-05-06,54.119999,54.610001,54.049999,54.540001,53.726631,11572700
2021-05-07,54.439999,54.770000,54.160000,54.509998,53.697075,10637500
2021-05-10,54.880001,55.500000,54.830002,54.910000,54.091110,15545800
2021-05-11,55.029999,55.139999,54.049999,54.320000,53.509911,12986700
2021-05-12,54.360001,54.560001,53.880001,54.040001,53.234089,15836500
2021-05-13,53.970001,54.779999,53.830002,54.509998,53.697075,15475800
2021-05-14,54.900002,55.099998,54.689999,54.730000,53.913795,11725300
2021-05-17,54.840000,55.020000,54.500000,54.639999,53.825142,12119800
2021-05-18,54.389999,54.560001,54.099998,54.340000,53.529613,13232500
2021-05-19,54.119999,54.180000,53.610001,54.169998,53.362144,15126100
2021-05-20,54.119999,54.799999,54.119999,54.650002,53.834991,10948400
2021-05-21,54.799999,55.119999,54.220001,54.619999,53.805435,16033200
2021-05-24,54.630001,54.930000,54.490002,54.799999,53.982750,10326100
2021-05-25,54.820000,54.820000,54.349998,54.790001,53.972904,11916500
2021-05-26,54.980000,55.049999,54.590000,55.029999,54.209324,16064300
2021-05-27,55.209999,55.570000,54.779999,55.490002,54.662464,59109600
2021-05-28,55.349998,55.709999,55.200001,55.290001,54.465446,17011600
2021-06-01,55.340000,55.650002,55.099998,55.279999,54.455593,13304000
2021-06-02,55.500000,55.560001,55.259998,55.500000,54.672314,11328500
2021-06-03,55.180000,55.740002,55.099998,55.639999,54.810226,17364300
2021-06-04,55.900002,56.480000,55.779999,56.240002,55.401279,18935100
2021-06-07,56.310001,56.340000,55.810001,56.040001,55.204258,14010800
2021-06-08,56.250000,56.250000,55.549999,55.650002,54.820076,10968300
2021-06-09,55.750000,55.919998,55.480000,55.480000,54.652611,9838800
2021-06-10,55.910000,56.119999,55.759998,55.910000,55.076199,12444400
2021-06-11,55.990002,56.209999,55.660000,56.160000,55.322472,11825800
2021-06-14,55.689999,55.709999,55.200001,55.549999,55.133896,9710800
2021-06-15,55.779999,55.790001,55.189999,55.410000,54.994946,11154200
2021-06-16,55.439999,55.459999,54.639999,54.669998,54.260487,15211700
2021-06-17,54.669998,55.150002,54.650002,54.950001,54.538391,10658400
2021-06-18,54.509998,54.619999,53.720001,53.770000,53.367229,31445600
2021-06-21,54.220001,54.430000,54.000000,54.360001,53.952808,14404300
2021-06-22,54.340000,54.849998,54.259998,54.560001,54.151314,13072800
2021-06-23,54.560001,54.599998,54.110001,54.119999,53.714607,12339200
2021-06-24,54.259998,54.419998,54.000000,54.389999,53.982582,11488400
2021-06-25,54.240002,54.470001,54.009998,54.320000,53.913109,18880300
2021-06-28,54.250000,54.369999,54.000000,54.259998,53.853558,10556900
2021-06-29,54.130001,54.340000,53.720001,53.860001,53.456554,12300900
2021-06-30,53.799999,54.180000,53.750000,54.110001,53.704681,14614200
2021-07-01,54.340000,54.480000,53.860001,53.959999,53.555805,13214700
2021-07-02,54.000000,54.450001,54.000000,54.180000,53.774158,10604600
2021-07-06,53.990002,54.090000,53.549999,53.880001,53.476406,15278200
2021-07-07,53.720001,54.380001,53.720001,54.320000,53.913109,14377700
2021-07-08,54.009998,54.169998,53.740002,54.130001,53.724533,11943900
2021-07-09,54.250000,54.520000,54.180000,54.459999,54.052059,10847000
2021-07-12,54.320000,54.599998,54.270000,54.480000,54.071911,15107600
2021-07-13,54.950001,55.299999,54.750000,55.020000,54.607864,15170800
2021-07-14,55.020000,56.349998,54.959999,56.259998,55.838573,22002700
2021-07-15,56.240002,56.470001,55.910000,56.439999,56.017227,15068200
2021-07-16,56.459999,56.680000,56.259998,56.400002,55.977531,14860500
2021-07-19,56.080002,56.349998,55.160000,55.730000,55.312546,19527000
2021-07-20,55.730000,56.330002,55.520000,55.830002,55.411800,16257900
2021-07-21,57.330002,57.560001,56.430000,56.549999,56.126404,20918200
2021-07-22,56.619999,56.740002,56.049999,56.470001,56.047005,13402700
2021-07-23,56.590000,57.330002,56.450001,57.009998,56.582958,12144000
2021-07-26,56.889999,57.119999,56.560001,57.060001,56.632587,8681100
2021-07-27,57.110001,57.540001,56.919998,57.259998,56.831085,12794400
2021-07-28,56.990002,57.160000,56.630001,56.740002,56.314983,9858000
2021-07-29,57.070000,57.250000,56.860001,57.049999,56.622658,9599100
2021-07-30,57.150002,57.250000,56.900002,57.029999,56.602806,11727000
2021-08-02,57.200001,57.240002,56.709999,56.880001,56.453934,9778000
2021-08-03,57.000000,57.000000,56.750000,56.919998,56.493629,8825500
2021-08-04,56.750000,56.950001,56.009998,56.099998,55.679775,11888400
2021-08-05,56.439999,56.590000,56.290001,56.500000,56.076778,9806800
2021-08-06,56.599998,56.740002,56.439999,56.639999,56.215729,10407900
2021-08-09,56.799999,56.880001,56.430000,56.650002,56.225658,8859900
2021-08-10,56.840000,57.169998,56.660000,56.799999,56.374531,10906900
2021-08-11,56.889999,57.180000,56.709999,56.730000,56.305058,8370700
2021-08-12,56.730000,56.980000,56.730000,56.840000,56.414234,6169200
2021-08-13,56.810001,57.299999,56.770000,57.230000,56.801311,7713600
2021-08-16,57.200001,57.490002,57.029999,57.480000,57.049438,7972000
2021-08-17,57.459999,57.560001,57.009998,57.279999,56.850937,10346400
2021-08-18,57.189999,57.230000,56.419998,56.500000,56.076778,13873700
2021-08-19,56.060001,56.980000,55.950001,56.860001,56.434082,9223700
2021-08-20,56.840000,57.029999,56.580002,56.639999,56.215729,10541000
2021-08-23,56.669998,56.750000,56.380001,56.439999,56.017227,8912800
2021-08-24,56.639999,56.639999,55.900002,56.009998,55.590446,12067200
2021-08-25,56.060001,56.169998,55.730000,56.070000,55.650002,11270700
2021-08-26,55.950001,55.980000,55.509998,55.540001,55.123970,10331500
2021-08-27,55.660000,55.790001,55.450001,55.650002,55.233147,8842200
2021-08-30,55.689999,56.200001,55.639999,56.180000,55.759178,10034700
2021-08-31,56.160000,56.520000,56.000000,56.310001,55.888203,14185700
2021-09-01,56.380001,56.799999,56.279999,56.689999,56.265354,9518900
2021-09-02,56.770000,57.029999,56.410000,56.770000,56.344757,11653200
2021-09-03,56.459999,56.770000,56.250000,56.730000,56.305058,13220400
2021-09-07,56.599998,56.689999,55.509998,55.669998,55.252995,20035300
2021-09-08,55.610001,56.480000,55.610001,56.419998,55.997375,12040100
2021-09-09,56.180000,56.419998,55.799999,55.860001,55.441574,12545400
