Date,Open,High,Low,Close,Adj Close,Volume
2020-10-19,62.799999,62.930000,61.759998,61.799999,59.661079,1633400
2020-10-20,62.820000,62.860001,62.389999,62.459999,60.298237,1022200
2020-10-21,61.799999,62.369999,61.580002,61.580002,59.448692,1144500
2020-10-22,61.980000,62.049999,61.549999,61.570000,59.439045,1075100
2020-10-23,61.799999,61.990002,61.110001,61.320000,59.197693,938800
2020-10-26,60.660000,60.779999,60.330002,60.759998,58.657074,1541500
2020-10-27,60.529999,61.560001,60.490002,60.990002,58.879112,1284600
2020-10-28,59.090000,59.490002,58.240002,58.360001,56.340145,1868900
2020-10-29,57.540001,58.049999,57.099998,57.700001,56.169781,1428300
2020-10-30,56.970001,57.189999,56.400002,56.830002,55.322857,1493300
2020-11-02,57.709999,57.980000,57.380001,57.810001,56.276867,1390300
2020-11-03,58.830002,59.520000,58.599998,58.959999,57.396362,1687700
2020-11-04,59.570000,60.709999,59.419998,60.180000,58.584011,1701900
2020-11-05,61.799999,61.810001,60.709999,60.860001,59.245975,987000
2020-11-06,61.470001,61.840000,61.279999,61.430000,59.800861,1160100
2020-11-09,63.220001,63.240002,61.209999,61.230000,59.606163,1472400
2020-11-10,61.700001,62.160000,61.509998,61.919998,60.277863,1134800
2020-11-11,62.680000,63.450001,62.639999,62.950001,61.280548,1072900
2020-11-12,62.990002,63.049999,62.459999,62.709999,61.046913,896300
2020-11-13,62.439999,62.790001,62.419998,62.730000,61.066387,752900
2020-11-16,62.049999,62.220001,60.959999,60.990002,59.372532,1074600
2020-11-17,60.660000,60.779999,60.259998,60.279999,58.681358,1526600
2020-11-18,60.220001,60.470001,59.459999,59.470001,57.892841,1111200
2020-11-19,59.230000,59.299999,58.799999,59.180000,57.610535,1625400
2020-11-20,59.360001,59.380001,58.930000,59.240002,57.668945,1535600
2020-11-23,58.680000,58.709999,57.900002,58.250000,56.705193,1649600
2020-11-24,58.230000,58.299999,57.689999,58.110001,56.568909,1605000
2020-11-25,60.389999,61.389999,60.209999,61.279999,59.654835,4405000
2020-11-27,61.180000,61.369999,60.119999,60.509998,58.905258,4431800
2020-11-30,60.889999,61.599998,60.650002,61.060001,59.440678,2462500
2020-12-01,60.369999,60.599998,59.299999,59.770000,58.184887,2320500
2020-12-02,58.720001,59.139999,58.389999,59.110001,57.542389,3014800
2020-12-03,58.290001,58.529999,57.619999,57.980000,56.442356,3729400
2020-12-04,57.959999,58.630001,57.900002,58.470001,56.919365,2760700
2020-12-07,57.910000,58.070000,57.400002,58.000000,56.461826,2347300
2020-12-08,57.750000,58.650002,57.619999,58.570000,57.016705,2012200
2020-12-09,58.220001,58.830002,58.040001,58.730000,57.172462,3017900
2020-12-10,58.830002,59.099998,58.410000,58.610001,57.055649,2327000
2020-12-11,58.340000,59.020000,58.330002,58.990002,57.425571,1631400
2020-12-14,58.660000,58.939999,58.090000,58.160000,56.617580,2060500
2020-12-15,58.369999,58.549999,57.900002,58.320000,56.773338,2086900
2020-12-16,58.470001,59.520000,58.430000,59.380001,57.805229,2088900
2020-12-17,59.000000,59.330002,58.889999,59.259998,57.688408,2523300
2020-12-18,58.950001,59.029999,58.590000,58.790001,57.230877,2778600
2020-12-21,57.650002,58.119999,57.119999,58.070000,56.529968,1804600
2020-12-22,58.299999,58.310001,57.730000,58.020000,56.481297,1587600
2020-12-23,58.299999,58.720001,58.070000,58.389999,56.841484,1309500
2020-12-24,58.540001,58.759998,58.330002,58.680000,57.123795,367800
2020-12-28,58.799999,59.439999,58.790001,59.090000,57.522919,1126500
2020-12-29,60.119999,60.419998,59.799999,60.130001,58.535339,2242800
2020-12-30,60.509998,61.230000,60.480000,60.900002,59.284920,1738900
2020-12-31,60.759998,60.830002,59.759998,60.360001,58.759235,1331400
2021-01-04,61.310001,61.430000,60.240002,60.529999,58.924732,1795100
2021-01-05,60.410000,60.619999,60.020000,60.560001,58.953938,1386400
2021-01-06,60.619999,61.209999,60.570000,60.650002,59.041550,2048900
2021-01-07,60.250000,60.430000,59.549999,59.820000,58.233559,2421000
2021-01-08,59.919998,60.590000,59.459999,60.529999,58.924732,3342300
2021-01-11,59.759998,59.910000,59.160000,59.520000,57.941513,1591700
2021-01-12,58.840000,59.200001,58.669998,59.090000,57.522919,1463100
2021-01-13,58.980000,59.470001,58.919998,59.169998,57.600792,2110600
2021-01-14,59.360001,60.070000,59.160000,59.840000,58.253033,1717900
2021-01-15,59.590000,59.959999,59.360001,59.680000,58.097271,1843900
2021-01-19,59.849998,59.910000,59.380001,59.380001,57.805229,1642100
2021-01-20,59.459999,59.720001,59.270000,59.549999,57.970718,1138400
2021-01-21,59.720001,60.060001,59.639999,59.919998,58.330906,1342900
2021-01-22,59.799999,60.020000,59.540001,59.660000,58.077805,985600
2021-01-25,60.070000,61.150002,59.990002,60.970001,59.353062,1379600
2021-01-26,60.790001,60.930000,60.470001,60.900002,59.284920,1266300
2021-01-27,60.000000,60.209999,59.270000,59.340000,57.766293,1852700
2021-01-28,59.209999,59.650002,59.020000,59.080002,57.513187,1335200
2021-01-29,58.270000,58.590000,58.189999,58.340000,56.792809,2016800
2021-02-01,58.549999,58.770000,58.369999,58.380001,56.831749,1186000
2021-02-02,58.700001,58.889999,58.439999,58.700001,57.143261,1042000
2021-02-03,59.310001,59.369999,58.849998,59.299999,57.727348,1358400
2021-02-04,56.250000,56.459999,55.380001,55.849998,54.368843,4885100
2021-02-05,55.240002,55.439999,54.799999,55.020000,53.560860,4233300
2021-02-08,54.980000,55.119999,54.310001,55.020000,53.560860,4557900
2021-02-09,54.200001,54.830002,54.029999,54.480000,53.035175,4815100
2021-02-10,54.860001,55.049999,54.209999,54.250000,52.811279,3582600
2021-02-11,53.959999,54.360001,53.779999,54.349998,52.908619,3839900
2021-02-12,54.189999,55.060001,54.169998,55.049999,53.590061,1900200
2021-02-16,55.849998,55.939999,55.450001,55.740002,54.261761,2017600
2021-02-17,54.980000,55.270000,54.889999,55.060001,53.599792,1901700
2021-02-18,55.299999,55.700001,55.080002,55.619999,54.144947,1603400
2021-02-19,55.240002,55.279999,54.380001,54.380001,52.937832,1526300
2021-02-22,54.119999,54.590000,53.889999,54.310001,52.869690,2578300
2021-02-23,54.320000,55.689999,54.320000,55.419998,53.950245,4020300
2021-02-24,53.880001,54.509998,53.880001,54.259998,52.821011,4091600
2021-02-25,53.900002,54.349998,53.439999,53.810001,52.883911,5231100
2021-02-26,52.889999,52.930000,51.980000,52.060001,51.164028,3712700
2021-03-01,52.689999,53.020000,52.380001,52.639999,51.734047,2307300
2021-03-02,53.130001,53.480000,53.090000,53.259998,52.343376,1924200
2021-03-03,52.889999,53.669998,52.680000,53.439999,52.520279,4564700
2021-03-04,53.730000,54.380001,53.139999,53.480000,52.559586,4208600
2021-03-05,53.459999,54.060001,53.330002,54.020000,53.090294,2619900
2021-03-08,53.540001,54.360001,53.509998,53.980000,53.050983,3109400
2021-03-09,54.740002,54.849998,54.099998,54.110001,53.178745,2382800
2021-03-10,55.020000,55.020000,54.570000,54.830002,53.886356,2437500
2021-03-11,54.669998,54.830002,54.529999,54.590000,53.650486,1981200
2021-03-12,54.720001,55.200001,54.619999,55.130001,54.181194,1811200
2021-03-15,55.610001,55.619999,54.860001,55.150002,54.200848,3451100
2021-03-16,55.299999,56.220001,55.279999,56.110001,55.144325,3477300
2021-03-17,55.919998,56.189999,55.750000,55.750000,54.790520,2447600
2021-03-18,55.740002,56.119999,55.590000,55.919998,54.957592,1781100
2021-03-19,55.220001,55.439999,54.919998,55.189999,54.240158,2567700
2021-03-22,55.220001,55.810001,55.180000,55.669998,54.711899,1521300
2021-03-23,55.860001,56.400002,55.779999,56.020000,55.055874,1789900
2021-03-24,55.349998,55.930000,55.270000,55.660000,54.702068,1671200
2021-03-25,55.959999,56.150002,55.639999,55.980000,55.016560,1553800
2021-03-26,55.740002,56.189999,55.549999,56.189999,55.222946,1358900
2021-03-29,56.049999,56.830002,56.020000,56.669998,55.694687,1975300
2021-03-30,56.009998,56.250000,55.779999,55.919998,54.957592,2014300
2021-03-31,56.240002,56.279999,55.810001,55.830002,54.869144,1700700
2021-04-01,56.080002,56.099998,55.599998,55.860001,54.898628,2079900
2021-04-05,55.930000,56.480000,55.930000,56.299999,55.331059,1050100
2021-04-06,56.320000,56.750000,56.180000,56.480000,55.507957,1390400
2021-04-07,56.959999,56.959999,56.580002,56.689999,55.714344,1558600
2021-04-08,57.009998,57.320000,56.869999,57.020000,56.038662,2363300
2021-04-09,56.630001,56.770000,56.500000,56.750000,55.773312,2297800
2021-04-12,56.529999,56.980000,56.410000,56.860001,55.881420,1726900
2021-04-13,56.689999,56.919998,56.639999,56.840000,55.861763,1949600
2021-04-14,56.799999,56.880001,56.480000,56.660000,55.684860,1343200
2021-04-15,57.320000,57.700001,57.299999,57.419998,56.431778,1350900
2021-04-16,57.410000,57.759998,57.349998,57.570000,56.579197,1368300
2021-04-19,57.750000,57.849998,57.480000,57.680000,56.687305,1417600
2021-04-20,57.520000,57.840000,57.349998,57.810001,56.815071,2582700
2021-04-21,57.470001,57.810001,57.400002,57.709999,56.716789,2060300
2021-04-22,56.720001,57.400002,56.560001,57.160000,56.176254,2118900
2021-04-23,56.849998,57.000000,56.509998,56.880001,55.901073,2001500
2021-04-26,56.840000,56.970001,56.599998,56.900002,55.920734,1452900
2021-04-27,56.360001,56.709999,56.320000,56.490002,55.517788,1950500
2021-04-28,56.650002,56.900002,56.650002,56.790001,55.812622,1554000
2021-04-29,58.970001,59.130001,58.639999,58.919998,57.905964,3032400
2021-04-30,59.130001,59.130001,58.490002,58.720001,57.709408,1973700
2021-05-03,59.040001,59.330002,58.900002,59.209999,58.190975,939700
2021-05-04,58.310001,58.669998,58.139999,58.310001,57.306465,3186000
2021-05-05,58.830002,59.130001,58.750000,58.939999,57.925621,1180900
2021-05-06,59.029999,59.799999,59.009998,59.689999,58.662712,1596600
2021-05-07,59.619999,59.939999,59.549999,59.740002,58.711853,1591100
2021-05-10,60.040001,60.580002,59.980000,60.450001,59.409634,1657300
2021-05-11,59.570000,60.040001,59.340000,60.029999,58.996861,3249800
2021-05-12,59.970001,60.360001,59.840000,59.910000,58.878925,3629800
2021-05-13,59.549999,60.529999,59.480000,60.250000,59.213074,2458600
2021-05-14,60.669998,60.860001,60.380001,60.590000,59.547226,1304300
2021-05-17,60.869999,61.189999,60.790001,61.049999,59.999306,1324500
2021-05-18,61.009998,61.189999,60.689999,60.820000,59.773266,1498600
2021-05-19,60.820000,61.029999,60.400002,60.560001,59.517742,1636300
2021-05-20,60.439999,60.970001,60.410000,60.779999,60.247288,1639800
2021-05-21,60.779999,61.000000,60.459999,60.500000,59.969746,1073500
2021-05-24,60.529999,60.720001,60.459999,60.529999,59.999481,973500
2021-05-25,60.799999,60.980000,60.500000,60.910000,60.376152,1201600
2021-05-26,61.000000,61.200001,60.700001,60.730000,60.197727,1158100
2021-05-27,60.240002,60.540001,59.470001,59.540001,59.018158,2445400
2021-05-28,59.820000,60.180000,59.820000,59.970001,59.444389,1443800
2021-06-01,60.490002,60.500000,59.889999,59.980000,59.454300,1227800
2021-06-02,60.209999,60.490002,59.980000,60.430000,59.900356,1398100
2021-06-03,60.320000,60.529999,60.110001,60.509998,59.979656,1039300
2021-06-04,60.540001,60.740002,60.380001,60.610001,60.078781,923000
2021-06-07,60.590000,60.700001,60.389999,60.669998,60.138252,830900
2021-06-08,60.900002,60.900002,60.360001,60.400002,59.870621,979200
2021-06-09,60.590000,60.720001,59.930000,59.939999,59.414650,1716600
2021-06-10,60.410000,60.669998,60.310001,60.509998,59.979656,1506000
2021-06-11,60.299999,60.450001,60.169998,60.369999,59.840881,1105000
2021-06-14,60.369999,60.840000,60.270000,60.840000,60.306763,909200
2021-06-15,61.189999,61.279999,60.779999,60.840000,60.306763,1027800
2021-06-16,61.680000,61.810001,60.590000,60.599998,60.068867,1333900
2021-06-17,60.400002,60.990002,60.369999,60.860001,60.326588,1223000
2021-06-18,59.810001,59.869999,59.250000,59.500000,58.978508,1977200
2021-06-21,59.770000,60.009998,59.639999,59.980000,59.454300,1150100
2021-06-22,60.119999,60.230000,59.930000,59.980000,59.454300,964000
2021-06-23,60.320000,60.360001,59.500000,59.529999,59.008244,1285700
2021-06-24,59.400002,59.570000,59.080002,59.230000,58.710873,1491200
2021-06-25,59.349998,59.650002,59.160000,59.580002,59.057808,1370300
2021-06-28,59.400002,59.770000,59.349998,59.509998,58.988419,1117600
2021-06-29,59.439999,59.439999,59.130001,59.259998,58.740612,956000
2021-06-30,58.639999,59.110001,58.270000,58.500000,57.987274,1679900
2021-07-01,58.590000,58.840000,58.570000,58.779999,58.264816,1362100
2021-07-02,58.650002,59.130001,58.570000,58.950001,58.433331,1041600
2021-07-06,59.209999,59.299999,58.900002,59.189999,58.671223,1117500
2021-07-07,59.459999,60.119999,59.310001,59.919998,59.394825,1065500
2021-07-08,59.310001,59.520000,58.930000,59.189999,58.671223,1310200
2021-07-09,59.200001,59.610001,59.200001,59.490002,58.968597,1280100
2021-07-12,59.490002,59.910000,59.490002,59.740002,59.216408,1021700
2021-07-13,59.660000,60.119999,59.639999,59.799999,59.275879,872500
2021-07-14,59.549999,59.830002,59.340000,59.770000,59.246143,1141000
2021-07-15,59.720001,59.759998,59.310001,59.639999,59.117279,1130400
2021-07-16,60.020000,60.259998,59.770000,60.150002,59.622814,1816100
2021-07-19,59.549999,59.869999,59.189999,59.570000,59.047894,1734500
2021-07-20,58.930000,59.310001,58.650002,58.820000,58.304466,1885400
2021-07-21,58.990002,59.180000,58.599998,58.709999,58.195431,1660400
2021-07-22,55.939999,56.099998,55.500000,55.520000,55.033390,4620900
2021-07-23,56.509998,57.099998,56.360001,57.000000,56.500420,2560200
2021-07-26,56.200001,56.349998,55.709999,55.740002,55.251465,2227700
2021-07-27,56.119999,56.549999,56.090000,56.459999,55.965153,2228800
2021-07-28,56.330002,56.650002,56.220001,56.599998,56.103924,2937000
2021-07-29,57.090000,57.740002,57.080002,57.520000,57.015862,2401900
2021-07-30,57.959999,58.040001,57.509998,57.529999,57.025772,1896000
2021-08-02,57.340000,57.599998,57.000000,57.270000,56.768055,1387500
2021-08-03,57.580002,57.849998,57.540001,57.830002,57.323147,1605000
2021-08-04,58.000000,58.160000,57.270000,57.389999,56.887001,2013400
2021-08-05,57.410000,57.490002,57.040001,57.200001,57.200001,1633200
2021-08-06,56.790001,56.930000,56.669998,56.790001,56.790001,1289500
2021-08-09,57.200001,57.279999,57.040001,57.259998,57.259998,1319900
2021-08-10,57.169998,57.259998,56.880001,57.090000,57.090000,995400
2021-08-11,57.279999,57.490002,57.230000,57.340000,57.340000,1291800
2021-08-12,57.189999,57.279999,57.020000,57.029999,57.029999,857900
2021-08-13,57.410000,57.849998,57.369999,57.770000,57.770000,1273500
2021-08-16,57.000000,57.270000,56.840000,57.200001,57.200001,1845800
2021-08-17,56.900002,57.279999,56.860001,57.099998,57.099998,1423700
2021-08-18,56.799999,56.820000,56.290001,56.310001,56.310001,1391700
2021-08-19,55.880001,56.290001,55.849998,55.950001,55.950001,2062800
2021-08-20,56.080002,56.630001,55.990002,56.369999,56.369999,1286500
2021-08-23,56.259998,56.529999,56.119999,56.380001,56.380001,1077500
2021-08-24,55.720001,56.130001,55.630001,55.939999,55.939999,1219600
